"Rank
(Euromonitor)","Rank
(Mastercard)",City,"Country /
Territory","Arrivals 2018
(Euromonitor)","Arrivals 2016
(Mastercard)","Growth
in arrivals
(Euromonitor)","Income
(billions $)
(Mastercard)"
1,11,Hong Kong,Hong Kong,"29,262,700","8,370,000",5.00%,6.84
2,1,Bangkok,Thailand,"24,177,500","21,470,000",7.70%,14.84
3,2,London,United Kingdom,"19,233,000","19,880,000",−3.0%,19.76
